% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Complete Primary Schools,Country,City,Drinking water,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Learning score,No Facility,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,ADM1_EN,Retention score,School infrastructure score,Toilet,Total number of schools
70.91%,0.811267606,29.09%,0.053521127,0.135211268,88.81%,0.00%,11.19%,0.00%,576,Pakistan,Khushab,93.25216316,63.215,2.62%,81.80716935,55.425,46.14,0.00%,0.735751295,710,0.264248705,255,4.10%,1205460,38,96,Punjab,72.2,84.675,76.7960445,965
57.63%,0.896551724,42.38%,0.052473763,0.050974513,98.95%,0.00%,1.05%,0.00%,598,Pakistan,Lahore,99.77908689,73.55,2.62%,98.10088365,62.98,58.235,0.00%,0.537903226,667,0.462096774,573,4.10%,6318745,35,34,Punjab,80.63,94.495,88.34167894,1240
71.68%,0.706666667,28.32%,0.063529412,0.229803922,96.82%,0.00%,3.18%,0.00%,901,Pakistan,Layyah,98.77184466,64.175,2.62%,76.16343042,58.07,53.61,0.00%,0.765306122,1275,0.234693878,391,4.10%,1120951,81,293,Punjab,66.695,86.905,87.12944984,1666
71.93%,0.855421687,28.07%,0.018932874,0.125645439,99.52%,0.00%,0.48%,0.00%,497,Pakistan,Lodhran,98.67768595,61.88,2.62%,85.44214876,49.36,61.805,0.00%,0.700844391,581,0.299155609,248,4.10%,1171800,11,73,Punjab,58.28,92.495,93.04545455,829
61.78%,,38.22%,,,,,,,,Pakistan,Mandi Bahauddin,98.99275362,77.785,2.62%,92.91304348,68.155,83.99,,0.663540445,566,0.336459555,287,4.10%,1160552,,,Punjab,70.77,91.28,80.2826087,853
61.07%,0.798586572,38.93%,0.064487633,0.136925795,91.75%,0.00%,8.25%,0.00%,904,Pakistan,Mianwali,95.56890459,65.605,2.62%,83.39575972,53.42,50.81,0.00%,0.791055206,1132,0.208944794,299,4.10%,1056620,73,155,Punjab,69.255,85.485,75.84628975,1431
72.85%,0.872047244,27.15%,0.029527559,0.098425197,97.60%,0.00%,2.40%,0.00%,886,Pakistan,Multan,98.65424431,75.585,2.62%,85.80124224,86.1,77.925,0.00%,0.718021201,1016,0.281978799,399,4.10%,3116851,30,100,Punjab,61.175,90.2,85.35610766,1415
59.48%,0.746511628,40.53%,0.054069767,0.199418605,96.21%,0.00%,3.79%,0.00%,1284,Pakistan,Muzaffargarh,97.9366429,69.925,2.62%,80.06472847,56.775,71.44,0.00%,0.825732117,1720,0.174267883,363,4.10%,2635903,93,343,Punjab,60.97,85.97,81.56061437,2083
85.96%,0.843444227,14.05%,0.023483366,0.133072407,94.47%,0.00%,5.53%,0.00%,431,Pakistan,Nankana Sahib,98.72680412,58.655,2.62%,80.4742268,50.255,83.215,0.00%,0.688679245,511,0.311320755,231,4.10%,1410000,12,68,Punjab,37.11,86.475,85.81958763,742
60.77%,0.815544041,39.23%,0.066321244,0.118134715,92.37%,0.00%,7.63%,0.00%,787,Pakistan,Narowal,97.94026777,70.115,2.62%,81.22811535,64.27,56.34,0.00%,0.751557632,965,0.248442368,319,4.10%,1265097,64,114,Punjab,70.615,87.14,82.06024717,1284
